#separator:tab
#html:true
#notetype:Cloze
#deck:ENARE-EBSERH::80-20::Infectologia::Doenças tropicais e negligenciadas
Síndrome de Löffler é causada pela passagem de larvas de helmintos pelos {{c1::pulmões}}.	Ascaris lumbricoides, Strongyloides stercoralis, Ancylostoma/Necator.	Assunto::doencas-tropicais-e-negligenciadas Banca::EBSERH Ano::2025 Dificuldade::MEDIA
O diagnóstico da neurorretinite por bartonelose é predominantemente {{c1::clínico}}, apoiado por sorologia.	Biópsia raramente necessária.	Assunto::doencas-tropicais-e-negligenciadas Conceito
Tratamento da doença da arranhadura do gato com indicação terapêutica: {{c1::azitromicina}}.	Formas oculares podem exigir associação com corticoide.	Assunto::doencas-tropicais-e-negligenciadas Conceito
Na oncocercose, a ivermectina mata as {{c1::microfilárias}}, mas não os vermes adultos.	Controla sintomas, mas não é curativa isoladamente.	Assunto::doencas-tropicais-e-negligenciadas Banca::ENARE Ano::2025 Dificuldade::DIFICIL
Para eliminar os vermes adultos na oncocercose, usa-se {{c1::doxiciclina prolongada}}.	Age indiretamente, eliminando a bactéria simbionte Wolbachia.	Assunto::doencas-tropicais-e-negligenciadas Banca::ENARE Ano::2025 Dificuldade::DIFICIL
A bactéria simbionte essencial à sobrevivência do verme adulto de Onchocerca volvulus é a {{c1::Wolbachia}}.	Eliminá-la esteriliza e eventualmente mata o verme adulto.	Assunto::doencas-tropicais-e-negligenciadas Conceito
Principal causa infecciosa evitável de cegueira em áreas endêmicas de oncocercose: lesões {{c1::oculares (ceratite)}}.	Além de nódulos subcutâneos (oncocercomas) e prurido intenso.	Assunto::doencas-tropicais-e-negligenciadas Conceito
Esquema completo para oncocercose: ivermectina periódica + {{c1::doxiciclina prolongada}}.	Microfilaricida + eliminação do verme adulto via Wolbachia.	Assunto::doencas-tropicais-e-negligenciadas Conceito
Agente da febre maculosa brasileira: {{c1::Rickettsia rickettsii}}.	Transmitida pelo carrapato-estrela (Amblyomma sculptum/cajennense).	Assunto::doencas-tropicais-e-negligenciadas Conceito
Principal hospedeiro amplificador da febre maculosa brasileira: {{c1::capivara}}.	Mantém populações de carrapatos infectados em áreas de risco.	Assunto::doencas-tropicais-e-negligenciadas Banca::ENARE Ano::2025 Dificuldade::FACIL
Exantema da febre maculosa evolui de maculopapular centrípeto para {{c1::petéquias}}.	Associado a febre alta, cefaleia e mialgia.	Assunto::doencas-tropicais-e-negligenciadas Conceito
Diante de suspeita de febre maculosa, iniciar {{c1::doxiciclina empírica imediata}}.	Sem aguardar confirmação laboratorial.	Assunto::doencas-tropicais-e-negligenciadas Conceito
HTLV-1 está associado a leucemia/linfoma de células T do adulto, chamada de {{c1::ATLL}}.	Mediada pela proteína viral Tax, décadas após a infecção.	Assunto::doencas-tropicais-e-negligenciadas Banca::ENARE Ano::2026 Dificuldade::MEDIA
HTLV-1 também causa mielopatia conhecida como {{c1::HAM-TSP}} (paraparesia espástica tropical).	Resposta imune inflamatória crônica contra a medula espinhal.	Assunto::doencas-tropicais-e-negligenciadas Banca::ENARE Ano::2026 Dificuldade::MEDIA
Principal via de transmissão do HTLV-1: {{c1::amamentação prolongada}}.	Também relação sexual, transfusão e compartilhamento de agulhas.	Assunto::doencas-tropicais-e-negligenciadas Conceito
A maioria das infecções por HTLV-1 permanece {{c1::assintomática}} ao longo da vida.	Apenas uma minoria evolui para ATLL ou HAM-TSP.	Assunto::doencas-tropicais-e-negligenciadas Conceito
Não há tratamento antirretroviral eficaz específico para {{c1::HTLV-1}}.	Manejo de suporte e tratamento das complicações (quimioterapia na ATLL).	Assunto::doencas-tropicais-e-negligenciadas Conceito
🔤 Mnemônico: na oncocercose, "{{c1::ivermectina mata a cria, doxiciclina mata o pai}}" (microfilária x verme adulto via Wolbachia).	Recurso próprio, não é mnemônico oficial.	Assunto::doencas-tropicais-e-negligenciadas Mnemonico
